Insurance	HaveEmail	HaveFitbit	Gdr_Cd	AgeBand	MbrCnt	Age	Female	HasEmail	HasFitbit	IP Admit	ER Visit	PMPM	Med	Ip	Op	Dr	Er	Rx	Charlson	AIDS_HIV	AMI	Angina	Cancer	CEVD	CHF	COPD	Dementia	Diabetes	HTN	Liver	Paralysis	PVD	Renal_Failure	Rheumatic	Ulcers	Depression	Skin
Other	Yes	NULL	M	65+	188816	73.095733	0.000000	1.000000	0.061181	0.047548	0.084908	346.394010	280.911180	91.863559	108.551395	72.784258	7.711967	65.482830	0.801203	0.000985	0.010444	0.076942	0.047162	0.029489	0.023986	0.044334	0.005227	0.094896	0.223879	0.015125	0.001996	0.036829	0.030156	0.005968	0.003077	0.018372	0.007647
UHC-FI	Yes	NULL	M	65+	33706	68.395715	0.000000	1.000000	0.072568	0.106954	0.184447	1183.214219	904.424380	308.169131	354.188387	215.643910	26.422950	278.789838	1.803491	0.002254	0.025989	0.177950	0.104877	0.060167	0.050109	0.096600	0.005547	0.217439	0.546608	0.036403	0.003738	0.071797	0.061265	0.015101	0.005963	0.035839	0.016317
Uni-ASO	Yes	NULL	M	65+	199925	72.408243	0.000000	1.000000	0.071196	0.090328	0.167622	455.529978	398.085595	127.168831	152.205147	107.567991	11.143623	57.444383	1.450121	0.001665	0.019117	0.139877	0.090133	0.056641	0.049598	0.079909	0.015895	0.158284	0.395023	0.023858	0.003966	0.070071	0.057461	0.010859	0.004936	0.031581	0.014045
NULL	Yes	NULL	M	65+	422447	72.395372	0.000000	1.000000	0.066829	0.072534	0.131995	464.810925	386.113089	125.830429	148.809503	100.644239	10.828917	78.697836	1.188276	0.001408	0.015788	0.114785	0.072103	0.044786	0.038191	0.065340	0.010301	0.134672	0.330623	0.020956	0.003067	0.055351	0.045560	0.009011	0.004187	0.026017	0.011367
NULL	Yes	NULL	NULL	65+	809853	72.540137	0.478365	1.000000	0.072918	0.065498	0.130196	417.775667	346.067005	106.258671	133.336664	95.861822	10.609846	71.708661	1.050914	0.000822	0.011278	0.079865	0.060754	0.039265	0.030695	0.068020	0.011468	0.112266	0.297006	0.019852	0.002660	0.045089	0.037280	0.013281	0.003989	0.034712	0.010459
NULL	Yes	NULL	NULL	NULL	7022366	47.681364	0.492967	1.000000	0.100729	0.052770	0.166329	535.689157	457.894725	119.415877	177.797517	132.485988	28.195341	77.794432	0.710340	0.002753	0.004785	0.027640	0.029300	0.013456	0.010351	0.064597	0.001675	0.078103	0.206078	0.022229	0.001516	0.014239	0.013187	0.011318	0.002916	0.065224	0.010125
Other	NULL	NULL	F	18-44	960442	31.972588	1.000000	0.436190	0.059183	0.066157	0.199797	395.060564	348.528381	98.797598	116.109164	99.011229	34.610388	46.532182	0.276829	0.000434	0.000411	0.001773	0.007966	0.002860	0.001553	0.050918	0.000115	0.019974	0.044763	0.009379	0.000754	0.002079	0.001888	0.006919	0.001461	0.071305	0.006965
Other	NULL	NULL	M	18-44	960343	31.985111	0.000000	0.401088	0.031521	0.015656	0.128181	212.777396	175.684888	37.273517	66.745669	50.907297	20.758404	37.092507	0.233057	0.002062	0.000794	0.002904	0.004068	0.002128	0.001889	0.032367	0.000070	0.021089	0.059988	0.009651	0.000758	0.002050	0.002476	0.001479	0.001151	0.035598	0.006774
Other	NULL	NULL	NULL	18-44	1920785	31.978849	0.500025	0.418640	0.045352	0.040908	0.163991	303.923678	262.111089	68.037143	91.428689	74.960503	27.684753	41.812588	0.254944	0.001248	0.000602	0.002338	0.006017	0.002494	0.001721	0.041643	0.000093	0.020531	0.052375	0.009515	0.000756	0.002064	0.002182	0.004199	0.001306	0.053453	0.006870
Other	NULL	NULL	F	45-64	855730	54.443068	1.000000	0.522896	0.062130	0.041254	0.160577	596.732126	504.352065	114.358297	207.720218	154.668574	27.604974	92.380060	0.794985	0.000717	0.003371	0.018370	0.038800	0.014434	0.008591	0.076801	0.000648	0.087401	0.229732	0.026469	0.001521	0.012829	0.011068	0.019350	0.003536	0.076767	0.009495
